movie:year:imdb:metascore:votes
 Upgrade:2018:7.5:67:206K
 First Man:2018:7.3:84:202K
 Red Sparrow:2018:6.6:53:201K
 The Equalizer 2:2018:6.7:50:196K
 Isle of Dogs:2018:7.8:82:190K
 Crazy Rich Asians:2018:6.9:74:189K
 Bumblebee:2018:6.7:66:187K
 Rampage:2018:6.1:45:184K
 Sugar Rush Online:2018:7.0:71:182K
 Searching:2018:7.6:71:179K
 The Nun:2018:5.3:46:169K
 Roma:2018:7.7:96:169K
 Halloween:2018:6.5:67:168K
 The Ballad of Buster Scruggs:2018:7.2:79:167K
" Soldado: The Soldier":2018:7.1:61:166K
 Bad Times at the El Royale:2018:7.1:60:164K
 A Simple Favor:2018:6.8:67:162K
Joker:2019:8.4:59:1.5M
"Avengers: Endgame":2019:8.4:78:1.3M
Parasite:2019:8.5:97:949K
Once Upon a Time... in Hollywood:2019:7.6:84:841K
Knives Out:2019:7.9:82:770K
1917:2019:8.2:78:670K
Captain Marvel:2019:6.8:64:608K
" Spider-Man: Far from Home":2019:7.4:69:553K
" Star Wars: The Rise of Skywalker":2019:6.4:53:491K
 Ford v Ferrari:2019:8.1:81:465K
 Jojo Rabbit:2019:7.9:58:439K
 The Irishman:2019:7.8:94:429K
" John Wick: Chapter 3 - Parabellum":2019:7.4:73:423K
 Midsommar:2019:7.1:72:399K
 The Gentlemen:2019:7.8:51:391K
 Shazam!:2019:7.0:71:383K
 Marriage Story:2019:7.9:94:345K
 Us:2019:6.8:81:339K
 Uncut Gems:2019:7.4:93:316K
 It Chapter Two:2019:6.5:58:300K
" Alita: Battle Angel":2019:7.3:53:292K
" El Camino: A Breaking Bad Movie":2019:7.3:72:290K
 Aladdin:2019:6.9:53:289K
" Jumanji: The Next Level":2019:6.7:58:281K
 Toy Story 4:2019:7.7:84:279K
 El hoyo:2019:7.0:73:270K
 The Lion King:2019:6.8:55:266K
 Glass:2019:6.6:43:266K
 Ad Astra:2019:6.5:80:259K
 The Lighthouse:2019:7.4:83:253K
 Little Women:2019:7.8:91:243K
" Fast & Furious Presents: Hobbs & Shaw":2019:6.5:60:235K
 Doctor Sleep:2019:7.3:59:217K
 Dark Phoenix:2019:5.7:43:204K
" Godzilla: King of the Monsters":2019:6.0:48:204K
" Zombieland: Double Tap":2019:6.7:55:201K
 6 Underground:2019:6.1:41:196K
 Rocketman:2019:7.3:69:194K
 Frozen II:2019:6.8:64:193K
Tenet:2020:7.3:69:588K
Soul:2020:8.0:83:377K
Wonder Woman 1984:2020:5.4:60:291K
A Quiet Place Part II:2020:7.2:71:271K
Birds of Prey:2020:6.1:60:264K
Extraction:2020:6.8:56:261K
The Invisible Man:2020:7.1:72:254K
 Enola Holmes:2020:6.6:68:218K
 Promising Young Woman:2020:7.5:72:210K
 Druk:2020:7.7:79:193K
 The Trial of the Chicago 7:2020:7.7:76:193K
 The Father:2020:8.2:88:191K
 The Old Guard:2020:6.7:70:183K
 Nomadland:2020:7.3:88:182K
 Palm Springs:2020:7.4:83:181K
 Bad Boys for Life:2020:6.5:59:174K
 Onward:2020:7.4:61:169K
 Mulan:2020:5.8:66:159K
 Sonic the Hedgehog:2020:6.5:47:158K
" Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan":2020:6.6:68:153K
 The Devil All the Time:2020:7.1:55:152K
 I Care a Lot:2020:6.4:66:145K
 Love and Monsters:2020:6.9:63:145K
 Greenland:2020:6.4:64:133K
 The Hunt:2020:6.5:50:128K
 Greyhound:2020:7.0:64:114K
 Hamilton:2020:8.3:88:112K
" Eurovision Song Contest: The Story of Fire Saga":2020:6.5:50:102K
 I'm Thinking of Ending Things:2020:6.6:78:99K
 Project Power:2020:6.0:51:97K
 Spenser Confidential:2020:6.2:49:97K
 Underwater:2020:5.9:48:97K
 Minari:2020:7.4:89:96K
 News of the World:2020:6.8:73:95K
